,Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Length,Budget,Original Language,Videos,Backdrops,Posters
167,Reagan,2024,66,"Told through the voice of former KGB agent Viktor Petrovich, whose life becomes inextricably linked with Ronald Reagan's when Reagan first caught the Soviets’ attention as an actor in Hollywood, Reagan overcomes the odds to become the 40th president of the United States.",Sean McNamara,Howard Klausner,"Drama, History","$29,024,816.00",2h 16m,"$25,000,000.00",English,1,13,16
168,Cuckoo,2024,57,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.",Tilman Singer,N/A,"Horror, Mystery, Science Fiction","$6,470,705.00",1h 43m,"$7,000,000.00",English,10,32,32
169,Shrek,2001,77,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",Andrew Adamson,N/A,"Animation, Comedy, Fantasy, Adventure, Family","$488,628,188.00",1h 30m,"$60,000,000.00",English,5,42,102
170,The Killer,2024,66,"Zee is a feared contract killer known as ""the Queen of the Dead,"" but when she refuses to murder a young blind woman, she finds herself hunted both by criminal colleagues and a determined police detective.",John Woo,Brian Helgeland,"Action, Thriller, Crime",-,2h 6m,"$30,000,000.00",English,1,23,23
171,The Exorcism,2024,50,"A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play.",Joshua John Miller,N/A,"Horror, Thriller","$6,354,317.00",1h 36m,"$22,000,000.00",English,4,25,63
172,Freddy's Fridays,2023,48,"A detective begins to investigate a series of mysterious murders that are connected to a demonic book that brings dolls to life. As the body count begins to rise, the detective soon learns the curse of the demonic Friday and must find a way to stop it before any others disappear.",Ben J. Williams,N/A,Horror,-,1h 17m,-,English,1,3,4
173,Puss in Boots: The Last Wish,2022,82,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Joel Crawford,Tommy Swerdlow,"Animation, Adventure, Fantasy, Comedy, Family","$484,700,000.00",1h 43m,"$90,000,000.00",English,18,88,207
174,Sonic the Hedgehog 2,2022,75,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",Jeff Fowler,Pat Casey,"Action, Adventure, Family, Comedy","$405,421,518.00",2h 3m,"$110,000,000.00",English,27,55,237
175,The Hobbit: The Battle of the Five Armies,2014,73,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Peter Jackson,Peter Jackson,"Action, Adventure, Fantasy","$956,019,788.00",2h 24m,"$250,000,000.00",English,4,49,240
176,Summer Camp,2024,52,"Childhood best friends Nora, Ginny and Mary used to spend every summer at sleepaway camp together, and now, fifty years later, seize the opportunity to get back together for a reunion at the camp — full of food fights, river rafting and emotional revelations.",Castille Landon,N/A,Comedy,"$2,402,245.00",1h 36m,"$10,000,000.00",English,1,11,28
177,The Chronicles of Libidoists,2024,43,"The story unfolds with an allegorical inspiration from the well-known fairy tale, The Little Mermaid, in which the mermaid princess falls in love with the prince it saves from drowning, with a surprising twist of the mermaid being a young boy…",Yang Ya-che,N/A,Drama,-,1h 45m,-,Chinese,0,2,9
178,Interstellar,2014,84,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Christopher Nolan,N/A,"Adventure, Drama, Science Fiction","$701,729,206.00",2h 49m,"$165,000,000.00",English,40,119,206
179,Elemental,2023,76,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",Peter Sohn,Kat Likkel,"Animation, Comedy, Family, Fantasy, Romance","$496,000,000.00",1h 42m,"$200,000,000.00",English,21,77,332
180,Private Collections,1979,52,"Three stories. A solitary sailor falls from his boat and washes ashore on a tropical island. While seeking rescue, he's found by a nearly naked woman who is playful and compliant. He decides to erase his signs of distress and remain on the island. What awaits?  In the second, an adolescent searches for the words of a nursery rime he remembers bits of. His journey takes him into dreams, sexual awakening, and Oedipal fantasy.  Third, a man of wealth in late-nineteenth century Paris hires a prostitute for the night. She's also cabaret performer and takes him to her room. He fears he's about to be robbed. What's her secret?",Shūji Terayama,Shūji Terayama,"Drama, Romance",-,1h 43m,-,French,1,0,1
181,The Bus of Life,2024,69,"Andrés, a music teacher diagnosed with cancer, seeks treatment at a hospital in the city. His travels there on a singular, dilapidated bus accompanied by other cancer patients. It soon becomes an extraordinary experience, giving him new friends and a far more joyous understanding of life. He also learns to conquer his fears, such as the stage fright which has frustrated a budding career as a musician.",Ibon Cormenzana,N/A,"Comedy, Drama",-,1h 38m,-,Spanish; Castilian,0,2,5
182,Alien,1979,82,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",Ridley Scott,Dan O'Bannon,"Horror, Science Fiction","$104,931,801.00",1h 57m,"$11,000,000.00",English,32,132,278
183,Cinderella's Curse,2024,50,"Desperate Cinderella summons her fairy godmother from an ancient flesh-bound book, seeking revenge on her evil stepmother and stepsisters who abuse and torment her daily.",Louisa Warren,N/A,"Horror, Fantasy","$47,300.00",1h 22m,-,English,1,2,13
184,Busty Girlfriend,2019,71,"Mincheol and Suhee go to greet Minchul father (grandmother) before marriage. Dae - sik welcomes her daughter - in - law, Su - hee. But before marriage, Minchol and Suhee are separated by the difference in personality. Soon-hee, who was only preparing for marriage, is soon to live.",Junsei,N/A,Romance,-,1h 11m,-,Korean,0,1,1
185,The Batman,2022,77,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",Matt Reeves,N/A,"Crime, Mystery, Thriller","$771,000,000.00",2h 57m,"$185,000,000.00",English,37,147,358
186,Woman of the Hour,2024,68,"The true story of an aspiring actor in 1970s Los Angeles and a serial killer in the midst of a years-long murder spree, whose lives intersect when they're cast on an episode of The Dating Game.",Anna Kendrick,N/A,"Crime, Drama, Thriller",-,1h 34m,-,English,6,36,47
187,Tarot,2024,66,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",Spenser Cohen,Spenser Cohen,Horror,"$48,027,934.00",1h 32m,"$8,000,000.00",English,11,35,79
188,Pirates of the Caribbean: Dead Man's Chest,2006,74,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,Gore Verbinski,Ted Elliott,"Adventure, Fantasy, Action","$1,065,700,000.00",2h 31m,"$200,000,000.00",English,5,44,143
189,The Boy and the Heron,2023,75,"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one.""",Hayao Miyazaki,N/A,"Animation, Adventure, Fantasy, Family, Drama","$294,200,000.00",2h 4m,"$50,000,000.00",Japanese,17,73,221
190,Cars 3,2017,69,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",Brian Fee,Mike Rich,"Family, Animation, Adventure, Comedy","$383,925,276.00",1h 42m,"$175,000,000.00",English,3,49,185
191,The Fall Guy,2024,72,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",David Leitch,N/A,"Action, Comedy","$181,035,480.00",2h 6m,"$125,000,000.00",English,23,157,209
192,Oppenheimer,2023,81,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,Christopher Nolan,N/A,"Drama, History","$952,000,000.00",3h 1m,"$100,000,000.00",English,51,90,193
193,Beezel,2024,66,"Over six tumultuous decades, three unwitting guests of a cursed New England home stumble upon a sinister secret dwelling beneath its floors - an eternal witch with an insatiable thirst for the souls of the living.",Aaron Fradkin,N/A,"Horror, Thriller",-,1h 22m,-,English,1,4,4
194,My Spy The Eternal City,2024,67,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear plot targeting the Vatican.",Peter Segal,Erich Hoeber,"Action, Comedy",-,1h 52m,-,English,5,20,59
195,Duchess,2024,63,"A tough, working-class petty criminal is drawn into the treacherous world of diamond smuggling and morphs into an anti-heroine to be reckoned with in the murky underworld.",Neil Marshall,N/A,"Action, Crime, Thriller",-,1h 53m,-,English,6,4,7
196,Alienoid,2022,68,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",Choi Dong-hoon,N/A,"Science Fiction, Action, Fantasy, Adventure","$12,109,608.00",2h 22m,"$24,500,000.00",Korean,8,50,51
197,No Way Up,2024,64,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,Claudio Fäh,N/A,"Thriller, Horror, Action",-,1h 30m,-,English,2,22,37
198,Mayhem!,2023,67,"Sam is a professional boxer about to get released from prison. While on parole, his past catches up with him and he has no choice but to flee. Five years later, he has rebuilt a simple life on an exotic island in Thailand with his wife and her daughter, but when he gets blackmailed by a dangerous local godfather, he must embark on a dangerous drug smuggling mission which results in a tragedy. Now he has only one purpose: to seek merciless vengeance.",Xavier Gens,N/A,"Action, Crime, Drama","$1,500,000.00",1h 39m,"$4,920,000.00",French,5,6,21
199,Something in the Water,2024,60,"After lesbian couple Meg and Kayla split following a traumatic homophobic incident, their three friends are intent on mending the rift during the wedding of Lizzie at a paradise resort. But a pre-wedding boat excursion turns to disaster and the wedding breakfast is likely to be the five girls!",Hayley Easton Street,N/A,"Thriller, Horror",-,1h 26m,-,English,2,41,28
