,Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Length,Budget,Original Language,Videos,Backdrops,Posters
50,Venom: Let There Be Carnage,2021,68,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Andy Serkis,Kelly Marcel,"Science Fiction, Action, Adventure","$506,863,592.00",1h 37m,"$110,000,000.00",English,27,51,241
51,The Garfield Movie,2024,71,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",Mark Dindal,Paul A. Kaplan,"Animation, Comedy, Family, Adventure, Action","$230,295,748.00",1h 41m,"$60,000,000.00",English,25,51,259
52,Kingdom of the Planet of the Apes,2024,71,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",Wes Ball,N/A,"Science Fiction, Adventure, Action","$397,366,385.00",2h 25m,"$160,000,000.00",English,77,94,327
53,V/H/S/Beyond,2024,71,"The infinite playground of forbidden worlds and dangerous lifeforms offered by the sci-fi horror genre will lead to the biggest, maddest, bloodiest V/H/S ever.",Virat Pal,Jordan Downey,"Horror, Science Fiction, Thriller",-,1h 54m,-,English,2,16,8
54,Terrifier,2011,63,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",Damien Leone,N/A,Horror,-,19m,-,English,1,3,5
55,Coco,2017,82,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Lee Unkrich,Adrian Molina,"Family, Animation, Music, Adventure","$807,816,196.00",1h 45m,"$175,000,000.00",English,18,34,199
56,My Fault,2023,79,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Domingo González,N/A,"Romance, Drama",-,1h 57m,-,Spanish; Castilian,19,10,48
57,Subservience,2024,67,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",SK Dale,Will Honley,"Science Fiction, Thriller, Horror","$159,422.00",1h 45m,"$4,400,000.00",English,6,14,36
58,Kung Fu Panda 4,2024,71,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",Mike Mitchell,N/A,"Animation, Family, Fantasy, Action","$543,900,620.00",1h 34m,"$80,000,000.00",English,47,63,163
59,Salem's Lot,2024,62,Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.,Gary Dauberman,Gary Dauberman,"Horror, Mystery",-,1h 53m,-,English,1,25,38
